1:[memory/buddy_malloc.cpp:62]blockShiftBit: 9(512), blockPow: 13(8192), buffer: 0x10e7ca000
2:[memory/buddy_malloc.cpp:84]size: 4096, pow(size): 3(8 blocks), idx: 1023, offset: 0, alloc: 0x10e7ca000
3:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 001, free: 0x10e7ca038}, size: 24, alloc: 0x10e7ca020
8:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 002, free: 0x10e7ca050}, size: 22, alloc: 0x10e7ca038
18:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 003, free: 0x10e7ca068}, size: 24, alloc: 0x10e7ca050
23:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 004, free: 0x10e7ca080}, size: 22, alloc: 0x10e7ca068
31:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 005, free: 0x10e7ca098}, size: 24, alloc: 0x10e7ca080
42:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, size: 24, alloc: 0x10e7ca098
47:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 22, alloc: 0x10e7ca0b0
52:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
57:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 009, free: 0x10e7ca0f8}, size: 20, alloc: 0x10e7ca0e0
62:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, addr: 0x10e7ca0e0, wasEmpty: 0
64:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
66:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
68:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 005, free: 0x10e7ca098}, addr: 0x10e7ca098, wasEmpty: 0
70:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, size: 24, alloc: 0x10e7ca098
75:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 20, alloc: 0x10e7ca0b0
80:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
85:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 009, free: 0x10e7ca0f8}, size: 18, alloc: 0x10e7ca0e0
90:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, addr: 0x10e7ca0e0, wasEmpty: 0
